FY,Insurer,pending_start_count,pending_start_amount,intimated_count,intimated_amount,total_claims_count,total_claims_amount,paid_count,paid_amount,repudiated_count,repudiated_amount,rejected_count,rejected_amount,unclaimed_count,unclaimed_amount,pending_end_count,pending_end_amount,pending_lt_3m,pending_3_to_6m,pending_6m_to_1y,pending_gt_1y,Low_Volume_Flag,Count_CSR,Value_CSR,Count_Value_Gap,Unclaimed_Ratio,Pending_Rate,Long_Pending_Share,Repudiation_Rate
2020-21,LIC,5875,349.6899999999998,941101,18755.65,946976,19105.34,933889,18295.58,6531,276.93,2934,3.92,1897,236.49,1725,292.4199999999984,792.0,933.0,0.0,0.0,False,98.61802199844558,95.7616038238524,2.8564181745931876,1.237821467715309,0.18215878755111006,0.0,0.6896690095630723
2020-21,Aditya Birla Sun Life,19,3.802882696,6455,468.8463574259636,6474,472.6492401219635,6347,440.2642878843836,116,28.747044714,0,0.0,0,0.0,11,3.637907523579965,10.0,1.0,0.0,0.0,False,98.03830707445165,93.1482060080699,4.890101066381746,0.0,0.1699104108742663,0.0,1.791782514674081
2020-21,Bandhan,0,0.0,401,107.44,401,107.44,398,105.98,3,1.46,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,True,99.25187032418953,98.64110201042443,0.6107683137650923,0.0,0.0,,0.7481296758104738
2020-21,Ageas Federal,5,1.255,1800,87.0516825541,1805,88.3066825541,1716,73.8486470111,38,7.7110335,1,0.0485005,0,0.0,50,6.698501542999994,50.0,0.0,0.0,0.0,False,95.06925207756233,83.62747288786161,11.44177918970071,0.0,2.7700831024930745,0.0,2.1052631578947367
2020-21,Aviva,5,0.7783592,1050,116.3712508,1055,117.14961,1034,111.5721176,21,5.577492400000001,0,0.0,0,0.0,0,1.06581410364015e-14,0.0,0.0,0.0,0.0,False,98.00947867298578,95.23900045420552,2.770478218780255,0.0,0.0,,1.9905213270142181
2020-21,Bajaj Allianz,2,0.650000034999987,14331,445.8863494178501,14333,446.5363494528501,14115,410.6768054422,213,32.15954400299999,0,0.0,0,0.0,5,3.700000007650047,5.0,0.0,0.0,0.0,False,98.47903439614875,91.96940091112639,6.509633485022363,0.0,0.03488453219842322,0.0,1.4860810716528292
2020-21,Bharti Axa,2,1.1533918,1891,106.4449366474949,1893,107.5983284474949,1875,106.0352046104949,18,1.563123837,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,False,99.04912836767036,98.54726011123607,0.5018682564342924,0.0,0.0,,0.9508716323296356
2020-21,Canara HSBC,2,2.0,1897,166.5379239208182,1899,168.5379239208182,1844,156.0757263838187,30,6.594223237,0,0.0,0,0.0,25,5.867974299999497,24.0,1.0,0.0,0.0,False,97.10373880989994,92.60570128842073,4.498037521479205,0.0,1.3164823591363874,0.0,1.579778830963665
2020-21,Edelweiss Life,0,0.0,502,52.08913801200001,502,52.08913801200001,487,45.8282796948095,13,3.260858317,0,0.0,0,0.0,2,3.000000000190504,2.0,0.0,0.0,0.0,False,97.01195219123507,87.98049160316656,9.031460588068512,0.0,0.398406374501992,0.0,2.589641434262948
2020-21,Exide Life,38,9.048578000000006,5014,173.65543904125,5052,182.70401704125,4978,170.43014094125,11,3.4896587,0,0.0,0,0.0,63,8.784217400000024,61.0,2.0,0.0,0.0,False,98.53523357086303,93.28209839128557,5.2531351795774555,0.0,1.2470308788598574,0.0,0.217735550277118
