FY,Insurer,pending_start_count,pending_start_amount,intimated_count,intimated_amount,total_claims_count,total_claims_amount,paid_count,paid_amount,repudiated_count,repudiated_amount,rejected_count,rejected_amount,unclaimed_count,unclaimed_amount,pending_end_count,pending_end_amount,pending_lt_3m,pending_3_to_6m,pending_6m_to_1y,pending_gt_1y
2020-21,LIC ,5875,349.6899999999998,941101,18755.65,946976,19105.34,933889,18295.58,6531,276.93,2934,3.92,1897,236.49,1725,292.4199999999984,792,933,0,0
2020-21,Aditya Birla Sun Life,19,3.802882696,6455,468.8463574259636,6474,472.6492401219635,6347,440.2642878843836,116,28.747044714,0,0,0,0,11,3.637907523579965,10,1,0,0
2020-21,Aegon,0,0,401,107.44,401,107.44,398,105.98,3,1.46,0,0,0,0,0,-6.21724893790088e-15,0,0,0,0
2020-21,Ageas Federal,5,1.255,1800,87.0516825541,1805,88.3066825541,1716,73.8486470111,38,7.7110335,1,0.0485005,0,0,50,6.698501542999994,50,0,0,0
2020-21,Aviva,5,0.7783592,1050,116.3712508,1055,117.14961,1034,111.5721176,21,5.577492400000001,0,0,0,0,0,1.06581410364015e-14,0,0,0,0
2020-21,Bajaj Allianz,2,0.650000034999987,14331,445.8863494178501,14333,446.5363494528501,14115,410.6768054422,213,32.15954400299999,0,0,0,0,5,3.700000007650047,5,0,0,0
2020-21,Bharti Axa ,2,1.1533918,1891,106.4449366474949,1893,107.5983284474949,1875,106.0352046104949,18,1.563123837,0,0,0,0,0,-6.483702463810914e-14,0,0,0,0
2020-21,Canara HSBC OBC,2,2,1897,166.5379239208182,1899,168.5379239208182,1844,156.0757263838187,30,6.594223237,0,0,0,0,25,5.867974299999497,24,1,0,0
2020-21,Edelweiss Tokio,0,0,502,52.08913801200001,502,52.08913801200001,487,45.8282796948095,13,3.260858317,0,0,0,0,2,3.000000000190504,2,0,0,0
2020-21,Exide Life,38,9.048578000000006,5014,173.65543904125,5052,182.70401704125,4978,170.43014094125,11,3.4896587,0,0,0,0,63,8.784217400000024,61,2,0,0
2020-21,Future Generali,3,0.31135,1223,55.47313514400003,1226,55.78448514400002,1163,48.11054702900007,55,4.959686694,0,0,0,0.002945421,8,2.711305999999956,8,0,0,0
2020-21,HDFC Life,35,17.578717205,16941,1277.962531953428,16976,1295.541249158428,16639,1037.232953660431,84,39.981818516,58,47.954496996,17,3.133491636,178,167.238488349997,135,38,5,0
2020-21,ICICI Prudential,95,43.70162686145701,14734,1643.048773052431,14829,1686.750399913888,14518,1504.643617984477,289,174.135916712,0,0,6,0.1476528215914,16,7.823212395820526,12,3,1,0
2020-21,India First,9,2.531358599,2972,117.736802332,2981,120.268160931,2886,109.640756124,80,6.674796483000001,0,0,0,0,15,3.952608324000033,5,2,1,7
2020-21,Kotak Mahindra ,9,12.142200569,4393,301.9995792129998,4402,314.1417797819998,4336,299.9150401079988,50,6.949741988000001,0,0,0,0,16,7.276997686001009,8,1,0,7
2020-21,Max Life,1,0.01500105,20051,928.0720800700008,20052,928.0870811200008,19922,885.5722737720009,129,42.014807348,0,0,0,0,1,0.499999999999865,1,0,0,0
2020-21,PNB Met Life,0,0,5315,353.1580018290001,5315,353.1580018290001,5218,331.7032233559996,97,21.454778473,0,0,0,0,0,4.902744876744691e-13,0,0,0,0
2020-21,Pramerica Life,2,0.2215079923000011,645,29.28606844874687,647,29.50757644104688,638,28.625236416,8,0.673790559,0,0,0,0,1,0.2085494660468723,1,0,0,0
2020-21,Reliance Nippon,2,0.5719593880999979,9414,215.421583281,9416,215.9935426691,9274,205.261737213,138,9.248403223999999,0,0,0,0,4,1.483402232099978,4,0,0,0
2020-21,Sahara,46,0.579634133,839,8.677096441,885,9.256730574,860,9.022812241,16,0.210218333,7,0,0,0,2,0.02370000000000008,2,0,0,0
2020-21,SBI Life ,36,7.776073142000121,34183,1614.551156835577,34219,1622.327229977577,31855,1398.775248805,1302,103.960217938,0,0,150,18.05119368857798,912,101.5405695459998,763,143,5,1
2020-21,Shriram,5,0.1194441,3681,123.545609319,3686,123.665053419,3506,95.810657865,137,18.721729116,32,8.151059898,0,0,11,0.9816065399999943,9,0,2,0
2020-21,Star Union,3,0.721065,1632,77.40495871700011,1635,78.12602371700011,1569,72.494127605,58,4.613484112,0,0,0,0,8,1.018412000000106,8,0,0,0
2020-21,Tata AIA,0,0,4648,546.3299999999999,4648,546.3299999999999,4556,478.4,90,63.53,0,0,0,0,2,4.399999999999949,1,1,0,0
2021-22,LIC ,1725,292.42,1365379,29293.46,1367104,29585.88,1349865,28408.38,8713,347.1899999999999,3619,8.5,2625,461.66,2282,360.1499999999964,1211,1071,-,-
2021-22,Aditya Birla Sun Life,11,3.637907524440021,9997,876.6850449225901,10008,880.3229524470302,9815,846.43431385759,186,32.98099327508,-,-,-,-,7,0.9076453143601171,7,-,-,-
2021-22,Aegon,0,0,720,276.48,720,276.48,713,273.04,6,3.42,-,-,-,-,1,0.0199999999999978,1,-,-,-
2021-22,Ageas Federal,50,6.698501543,2644,128.0327579171999,2694,134.7312594601999,2614,122.6292489601999,57,8.6695374,-,-,-,-,23,3.432473099999978,22,1,-,-
2021-22,Aviva,0,1.06581410364015e-14,1672,270.9491353,1672,270.9491353,1645,266.6992005,27,4.2499348,-,-,-,-,-,-,-,-,-,-
2021-22,Bajaj Allianz,5,3.7,21045,822.2737754914108,21050,825.9737754914108,20844,771.8780358884093,195,44.725080377,-,-,-,-,11,9.370659226001557,11,-,-,-
2021-22,Bharti Axa ,0,0,3203,243.5880589976307,3203,243.5880589976307,3174,234.7198948926308,27,2.044654105,-,-,-,-,2,6.82350999999992,1,-,1,-
2021-22,Canara HSBC OBC,25,5.867974300000001,2788,282.233417916,2813,288.101392216,2769,277.7949103980005,41,7.806481817999999,-,-,-,-,3,2.499999999999441,3,-,-,-
2021-22,Edelweiss Tokio,2,3,993,156.863103773,995,159.863103773,976,152.062587865,19,7.800515907999999,-,-,-,-,-,-,-,-,-,-
2021-22,Exide Life,63,8.784217400000024,7216,309.8332942180002,7279,318.6175116180002,7213,306.8087789380001,7,0.3208976,-,-,-,-,59,11.4878350800001,54,2,3,-
2021-22,Future Generali,8,2.711306,1656,83.98179060241003,1664,86.69309660241002,1600,77.67319543040996,64,9.019901172,-,-,-,-,-,-,-,-,-,-
2021-22,HDFC Life,178,167.23848835,26944,2751.005783201996,27122,2918.244271551996,26758,2608.221586656001,136,107.3566806,188,171.828822256,17,5.65633644,23,25.18084559999419,19,4,-,-
2021-22,ICICI Prudential,16,7.823212343975997,22265,3110.21587154082,22281,3118.039083884796,21795,2977.495652192047,398,112.253637921,-,-,8,0.774485620424,80,27.51530815132452,19,22,36,3
2021-22,India First,15,3.95,4922,245.576270107,4937,249.526270107,4785,227.308790278,143,18.18176921,-,-,-,-,9,4.035710618999929,-,3,-,6
2021-22,Kotak Mahindra ,16,7.276997686000001,7117,606.3103075589993,7133,613.5873052449992,7049,586.1454367059971,60,19.126574967,-,-,-,-,24,8.315293572002144,13,2,1,8
2021-22,Max Life,1,0.5,31034,2076.813368601999,31035,2077.313368601999,30830,2008.943221541997,205,68.37014699199999,-,-,-,-,-,-,-,-,-,-
2021-22,PNB Met Life,0,0,8586,717.4268524780003,8586,717.4268524780003,8357,669.6905082580006,224,43.20785862,-,-,3,2.0284856,2,2.499999999999754,1,-,1,-
2021-22,Pramerica Life,1,0.21,1060,52.82870637052405,1061,53.03870637052405,1043,51.34,16,1.5,-,-,-,-,2,0.1987063705240431,2,-,-,-
2021-22,Reliance Nippon,4,1.481905123999999,13726,359.2811494469995,13730,360.7630545709995,13548,344.1429030129995,174,14.482292557,-,-,5,1.596379737999999,3,0.5414792629999783,1,2,-,-
2021-22,Sahara,2,0.0237,1164,12.823381951,1166,12.847081951,1132,12.47292594,16,0.313778519,15,0.0005,-,-,3,0.0598774920000002,2,-,1,-
2021-22,SBI Life ,912,101.5405695,54874,2808.60417088374,55786,2910.14474038374,54140,2751.527538312513,1541,127.575616245,-,-,69,10.64334746873002,36,20.4,20,16,-,-
2021-22,Shriram,11,0.98160654,5854,202.180575944,5865,203.162182484,5620,167.393392716,163,23.578231328,78,12.12551044,-,-,4,0.06504799999997424,4,-,-,-
2021-22,Star Union,8,1.018412,2943,170.29835069,2951,171.31676269,2875,156.600752255,74,14.316010435,-,-,-,-,2,0.3999999999999879,-,1,1,-
2021-22,Tata AIA,2,4.4,8067,1599.527197366999,8069,1603.927197366999,7950,1518.17,117,80.629797404,-,-,-,-,2,5.127399962999206,2,-,-,-
2022-23,LIC ,2282,360.15,919925,18967.48,922207,19327.63,908576,18397.77,8003,416.92,4326,14.75,627,192.32,675,305.8700000000005,655,20,0,0
2022-23,Acko Life,,,,,,,,,,,,,,,,,,,,
2022-23,Aditya Birla Sun Life,7,0.9076453143598676,6307,496.0494774814102,6314,496.9571227957701,6195,458.324486033,119,38.632636762,0,0,0,0,0,7.70114638726227e-10,0,0,0,0
2022-23,Bandhan,1,0.02,315,86.67,316,86.69,314,86.14,2,0.54,0,0,0,0,0,0.009999999999997122,0,0,0,0
2022-23,Ageas Federal,23,3.4324731,1422,64.03840132949989,1445,67.47087442949989,1388,61.04529468259989,45,4.227628144,0,0,0,0,12,2.197951602899999,12,0,0,0
2022-23,Aviva,0,0,803,98.8486411,803,98.8486411,793,97.6049325,10,1.2437086,0,0,0,0,0,-9.325873406851315e-15,0,0,0,0
2022-23,Bajaj Allianz,11,9.370659226,15491,630.4333005290001,15502,639.8039597550002,15353,603.0331450079996,145,33.082813747,0,0,0,0,4,3.688001000000604,3,1,0,0
2022-23,Bharti Axa ,2,6.82,2114,143.9073191626207,2116,150.7273191626207,2097,147.8472550866206,19,2.883574076,0,0,0,0,0,-0.003509999999947055,0,0,0,0
2022-23,Credit Access Life,,,,,,,,,,,,,,,,,,,,
2022-23,Canara HSBC,3,2.5,2116,191.2588409470001,2119,193.7588409470001,2098,186.1910157210003,19,6.517825226,0,0,0,0,2,1.049999999999797,2,0,0,0
2022-23,Edelweiss Tokio,0,0,500,63.0452073466667,500,63.0452073466667,496,59.01554794666671,4,4.0296594,0,0,0,0,0,-7.105427357601e-15,0,0,0,0
2022-23,Future Generali,0,0,988,41.04612488654499,988,41.04612488654499,939,32.81136757354501,49,8.234757313,0,0,0,0,0,-1.77635683940025e-14,0,0,0,0
2022-23,Godigit Life,,,,,,,,,,,,,,,,,,,,
2022-23,HDFC Life,23,25.1808456,17535,1415.021105689003,17558,1440.201951289004,17451,1389.903975789004,103,44.7979754,0,0,0,0,4,5.500000099999895,4,0,0,0
2022-23,ICICI Prudential,80,27.515308205959,14253,2114.836725370573,14333,2142.352033576532,13656,1949.699139506151,638,182.1254161620001,0,0,19,3.7606930653843,20,6.766784842997184,8,0,4,8
2022-23,India First,9,4.04,3138,169.355402059,3147,173.395402059,3054,159.8144784139999,83,9.544867436999999,0,0,0,0,10,4.036056208000099,3,1,0,6
2022-23,Kotak Mahindra ,24,8.315293572000002,4309,333.5116594369997,4333,341.8269530089997,4257,320.9181235649975,65,15.518537425,0,0,0,0,11,5.39029201900215,8,0,0,3
2022-23,Max Life,0,0,19659,1312.466045429999,19659,1312.466045429999,19563,1242.151156224,96,70.314889196,0,0,0,0,0,9.998501582231256e-09,0,0,0,0
2022-23,PNB Met Life,2,2.5,5290,422.8358461510001,5292,425.3358461510001,5242,407.3253729500001,48,17.951083439,0,0,1,0.026918666,1,0.03247109599997015,1,0,0,0
2022-23,Pramerica Life,2,0.2030084995,751,30.38454837526001,753,30.58755687476001,744,29.82380857679473,8,0.5122386976893796,1,0.2515096,0,0,0,2.758956396675671e-10,0,0,0,0
2022-23,Reliance Nippon,3,0.5414792630000002,8756,218.7211527860001,8759,219.2626320490001,8635,204.0644193120005,122,14.328732087,0,0,1,0.100811373,1,0.7686692769995522,1,0,0,0
2022-23,Sahara,3,0.06,654,5.442383669000001,657,5.502383669,643,5.309279919,7,0.14774375,4,0,0,0,3,0.04536000000000057,2,0,1,0
2022-23,SBI Life ,36,20.39823840349522,36860,1745.8832201085,36896,1766.281458511995,35807,1676.950150618001,1007,75.02896500000001,0,0,47,9.447757172999998,35,4.854585720994324,17,16,2,0
2022-23,Shriram,4,0.065048,3999,140.9816816203333,4003,141.0467296203333,3899,109.4921529463333,86,22.530988991,13,8.6813401,0,0,5,0.3422475829999883,5,0,0,0
2022-23,Star Union,2,0.4,1804,120.930919216,1806,121.330919216,1735,113.462031465,68,7.251887751000001,0,0,0,0,3,0.6170000000000018,3,0,0,0
2022-23,Tata AIA,2,5.13,5473,816.5746052730001,5475,821.7046052730001,5421,776.6994132730001,53,44.705192,0,0,1,0.3,0,-3.835820550079916e-14,0,0,0,0
2023-24,LIC ,675,305.87,844312,18462.32,844987,18768.19,829318,17862.87,8857,502.44,6007,15.06,530,43.77,275,344.0499999999997,198,77,0,0
2023-24,Acko Life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
